id,x,y,z
0,151,734,1651
1,163,776,1597
2,124,791,1542
3,168,763,1478
4,212,777,1532
5,197,818,1538
6,271,813,1518
7,277,844,1547
8,281,887,1537
9,304,901,1541
10,319,934,1553
11,374,1014,1564
12,436,1001,1582
13,498,988,1601
14,525,995,1591
15,552,1003,1582
16,595,911,1534
17,662,932,1555
18,699,914,1542
19,736,897,1530
20,736,892,1549
21,787,887,1548
22,838,882,1547
23,889,878,1547
24,884,832,1510
25,879,786,1473
26,949,770,1596
27,910,690,1552
28,1001,713,1613
29,945,675,1646
30,962,640,1657
31,996,594,1681
32,874,574,1665
33,868,531,1608
34,1012,481,1600
35,934,442,1566
36,868,433,1551
37,928,378,1640
38,875,477,1587
39,891,313,1685
40,873,308,1689
41,848,283,1659
42,856,246,1580
43,864,210,1502
44,825,193,1525
45,787,177,1549
46,709,247,1553
47,717,205,1590
48,726,164,1627
49,675,208,1502
50,534,194,1511
51,562,177,1530
52,491,183,1563
53,459,176,1536
54,428,170,1509
55,399,221,1459
56,347,199,1424
57,373,300,1397
58,338,308,1377
59,304,316,1358
60,259,367,1388
61,260,417,1411
62,256,459,1399
63,252,501,1387
64,280,542,1360
65,308,583,1334
66,260,663,1342
67,264,661,1322
68,247,736,1380
69,269,766,1395
70,280,807,1402
71,309,841,1403
72,351,845,1385
73,370,896,1365
74,434,926,1359
75,483,852,1318
76,540,847,1299
77,598,842,1280
78,647,845,1271
79,696,849,1263
80,728,800,1263
81,787,821,1236
82,784,772,1277
83,799,754,1293
84,821,709,1316
85,846,688,1315
86,839,635,1290
87,880,617,1285
88,874,555,1288
89,863,557,1447
90,787,504,1318
91,811,460,1347
92,836,417,1377
93,788,358,1393
94,796,345,1289
95,779,305,1345
96,762,266,1402
97,684,247,1370
98,671,234,1311
99,646,228,1373
100,481,268,1329
101,434,266,1307
102,410,271,1351
103,381,267,1361
104,349,317,1357
105,293,292,1281
106,264,365,1314
107,256,397,1249
108,301,469,1297
109,281,481,1228
110,286,531,1249
111,292,582,1271
112,298,633,1293
113,316,635,1339
114,304,683,1319
115,292,732,1299
116,324,737,1296
117,356,742,1293
118,388,748,1290
119,421,754,1288
120,465,822,1262
121,493,814,1226
122,498,781,1174
123,558,812,1137
124,606,728,1174
125,647,737,1208
126,700,793,1184
127,749,758,1141
128,504,718,1164
129,655,690,1182
130,807,663,1200
131,812,621,1230
132,792,571,1222
133,773,521,1214
134,774,489,1167
135,775,458,1121
136,737,450,1151
137,754,415,1091
138,766,367,1100
139,709,316,1127
140,702,324,1200
141,720,258,1183
142,633,274,1165
143,633,223,1161
144,556,232,1168
145,511,263,1199
146,508,329,1134
147,422,340,1157
148,396,362,1172
149,359,393,1141
150,354,525,1099
151,351,550,1059
152,293,597,1057
153,348,639,1047
154,309,689,1113
155,352,690,1092
156,347,763,1093
157,369,787,1083
158,394,804,1074
159,424,783,1032
160,471,809,1086
161,525,835,1066
162,567,779,1103
163,595,714,1068
164,671,786,1046
165,718,774,1086
166,733,726,1096
167,749,678,1106
168,729,624,1092
169,726,591,1064
170,724,558,1036
171,777,516,1028
172,767,480,1011
173,757,445,994
174,711,453,958
175,686,410,971
176,662,368,985
177,655,317,962
178,597,354,941
179,561,317,946
180,534,308,950
181,484,369,941
182,477,352,985
183,454,369,937
184,394,386,982
185,401,454,943
186,366,470,974
187,331,487,1005
188,322,544,999
189,313,601,993
190,385,598,952
191,343,674,977
192,360,704,933
193,437,642,966
194,428,715,985
195,444,755,954
196,470,706,900
197,542,733,928
198,532,764,955
199,586,773,951
200,652,737,955
201,718,702,960
202,736,672,963
203,722,609,971
204,692,589,982
205,758,562,970
206,673,518,953
207,712,455,938
208,726,426,913
209,741,397,889
210,674,431,822
211,676,358,839
212,646,391,842
213,577,364,885
214,536,358,845
215,530,342,857
216,492,355,809
217,443,384,820
218,395,401,781
219,393,455,873
220,369,502,809
221,342,546,867
222,336,567,880
223,330,589,894
224,410,596,877
225,343,690,870
226,409,682,813
227,379,756,823
228,410,748,838
229,441,740,853
230,503,732,853
231,533,733,775
232,551,778,768
233,596,770,818
234,614,713,836
235,690,759,806
236,672,722,879
237,657,667,877
238,693,647,856
239,715,616,833
240,709,564,827
241,703,513,821
242,727,472,800
243,655,466,765
244,637,439,814
245,639,383,790
246,574,420,729
247,559,366,760
248,505,409,716
249,447,424,772
250,427,497,806
251,376,555,770
252,391,600,769
253,409,752,765
254,429,719,743
255,450,687,722
256,489,706,723
257,529,726,724
258,580,714,738
259,609,710,745
260,638,706,752
261,713,704,746
262,716,632,761
263,710,594,755
264,705,556,749
265,700,519,743
266,666,490,767
267,676,434,711
268,649,406,731
269,589,398,714
270,550,427,719
271,511,457,725
272,459,420,669
273,442,459,686
274,428,522,683
275,268,561,669
276,370,587,676
277,472,614,684
278,504,638,605
279,538,669,638
280,584,636,644
281,595,607,623
282,606,579,603
283,611,525,596
284,617,472,589
285,548,459,594
286,535,424,576
287,497,455,584
288,490,514,612
289,455,577,579
290,462,611,533
291,471,640,553
292,527,645,535
293,587,641,532
294,605,627,541
295,639,595,551
296,674,564,562
297,669,543,577
298,664,473,585
299,618,531,544
300,532,471,505
301,501,510,494
302,471,550,484
303,489,602,502
304,475,651,439
305,523,660,395
306,554,666,384
307,595,636,421
308,640,583,414
309,617,547,383
310,577,555,367
311,538,564,351
312,495,553,359
313,492,581,393
314,490,610,427
315,506,668,423
316,539,663,460
317,568,656,495
318,598,649,530
319,645,628,581
320,649,586,626
321,630,505,624
322,629,494,659
323,587,473,659
324,546,452,660
325,481,476,670
326,446,464,638
327,421,530,665
328,404,572,607
329,417,595,640
330,446,615,635
331,491,645,650
332,551,657,608
333,582,631,682
334,615,664,683
335,664,642,714
336,699,607,742
337,734,573,770
338,709,539,840
339,716,499,875
340,736,459,892
341,693,436,926
342,627,432,940
343,640,382,932
344,555,394,911
345,532,364,929
346,492,386,936
347,453,409,943
348,411,431,938
349,408,483,980
350,332,598,982
351,346,627,1043
352,299,682,1063
353,330,707,1071
354,350,722,1000
355,384,740,1059
356,417,769,1045
357,450,783,1039
358,519,806,1068
359,550,722,1083
360,581,739,1082
361,612,756,1081
362,690,788,1092
363,689,714,1146
364,775,747,1161
365,793,728,1174
366,812,710,1187
367,835,629,1180
368,755,612,1226
369,835,555,1223
370,816,525,1224
371,797,495,1225
372,778,466,1226
373,759,437,1228
374,716,397,1198
375,674,358,1168
376,701,292,1241
377,638,310,1249
378,614,245,1244
379,566,220,1214
380,540,295,1219
381,481,298,1234
382,434,314,1254
383,380,289,1211
384,362,362,1225
385,322,363,1166
386,281,386,1171
387,350,439,1180
388,348,487,1188
389,295,565,1195
390,282,589,1174
391,327,583,1179
392,304,697,1151
393,352,649,1157
394,373,673,1171
395,395,697,1185
396,417,721,1199
397,420,754,1197
398,423,788,1195
399,427,822,1194
400,525,835,1244
401,566,819,1282
402,629,876,1294
403,604,845,1310
404,669,839,1372
405,636,782,1388
406,713,774,1375
407,781,799,1439
408,809,759,1378
409,779,721,1442
410,819,686,1440
411,859,651,1438
412,874,619,1408
413,889,587,1379
414,839,524,1399
415,854,447,1355
416,866,394,1405
417,878,342,1456
418,835,368,1478
419,807,318,1398
420,806,283,1441
421,806,248,1484
422,787,193,1476
423,770,161,1545
424,728,240,1560
425,699,196,1669
426,639,220,1638
427,583,166,1667
428,533,166,1633
429,484,167,1599
430,435,168,1565
431,402,177,1618
432,369,187,1671
433,305,110,1602
434,253,209,1574
435,267,325,1515
436,203,267,1478
437,214,361,1516
438,210,352,1582
439,217,407,1560
440,186,450,1558
441,249,506,1439
442,232,565,1528
443,181,614,1521
444,222,687,1475
445,181,699,1511
446,204,722,1456
447,201,643,1543
448,177,817,1553
449,250,643,1533
450,293,749,1495
451,337,856,1457
452,408,865,1501
453,450,829,1474
454,467,871,1445
455,501,827,1423
456,563,841,1436
457,625,856,1450
458,668,821,1429
459,704,811,1354
460,711,713,1402
461,757,747,1385
462,730,687,1350
463,778,685,1381
464,826,684,1412
465,875,683,1443
466,881,643,1464
467,887,603,1485
468,949,582,1466
469,902,535,1479
470,986,533,1562
471,878,462,1545
472,927,368,1635
473,901,349,1647
474,861,320,1589
475,825,364,1531
476,851,250,1524
477,843,252,1492
478,763,278,1421
479,742,214,1442
480,636,257,1328
481,641,204,1388
482,573,202,1383
483,533,240,1449
484,481,235,1442
485,404,214,1421
486,368,207,1381
487,373,269,1454
488,289,260,1469
489,299,315,1488
490,244,353,1490
491,243,394,1485
492,280,430,1326
493,164,479,1476
494,209,513,1420
495,197,584,1395
496,224,653,1398
497,199,697,1388
498,211,688,1453
499,160,717,1413
