id000,angle000-x0151,y1624
id000,angle045-x0000,y0000
id000,angle090-x0000,y0000
id000,angle135-x0000,y0000
id000,angle180-x0000,y0000
id000,angle225-x0899,y1590
id000,angle270-x0734,y1696
id000,angle315-x0306,y1688
id001,angle000-x0163,y1574
id001,angle045-x0000,y0000
id001,angle090-x0000,y0000
id001,angle135-x0000,y0000
id001,angle180-x0000,y0000
id001,angle225-x0000,y0000
id001,angle270-x0776,y1635
id001,angle315-x0336,y1628
id002,angle000-x0124,y1513
id002,angle045-x0193,y1441
id002,angle090-x0000,y0000
id002,angle135-x0000,y0000
id002,angle180-x0889,y1439
id002,angle225-x0965,y1503
id002,angle270-x0791,y1617
id002,angle315-x0374,y1609
id003,angle000-x0168,y1458
id003,angle045-x0000,y0000
id003,angle090-x0000,y0000
id003,angle135-x0000,y0000
id003,angle180-x0000,y0000
id003,angle225-x0000,y0000
id003,angle270-x0763,y1538
id003,angle315-x0428,y1574
id004,angle000-x0212,y1519
id004,angle045-x0000,y0000
id004,angle090-x0000,y0000
id004,angle135-x0644,y1393
id004,angle180-x0000,y0000
id004,angle225-x0000,y0000
id004,angle270-x0777,y1561
id004,angle315-x0488,y1583
id005,angle000-x0197,y1522
id005,angle045-x0000,y0000
id005,angle090-x0000,y0000
id005,angle135-x0000,y0000
id005,angle180-x0000,y0000
id005,angle225-x0901,y1469
id005,angle270-x0818,y1563
id005,angle315-x0520,y1597
id006,angle000-x0271,y1515
id006,angle045-x0000,y0000
id006,angle090-x0000,y0000
id006,angle135-x0000,y0000
id006,angle180-x0000,y0000
id006,angle225-x0000,y0000
id006,angle270-x0813,y1515
id006,angle315-x0571,y1554
id007,angle000-x0277,y1545
id007,angle045-x0000,y0000
id007,angle090-x0000,y0000
id007,angle135-x0000,y0000
id007,angle180-x0000,y0000
id007,angle225-x0000,y0000
id007,angle270-x0844,y1504
id007,angle315-x0651,y1568
id008,angle000-x0281,y1536
id008,angle045-x0000,y0000
id008,angle090-x0000,y0000
id008,angle135-x0000,y0000
id008,angle180-x0000,y0000
id008,angle225-x0000,y0000
id008,angle270-x0887,y1496
id008,angle315-x0694,y1563
id009,angle000-x0304,y1543
id009,angle045-x0000,y0000
id009,angle090-x0000,y0000
id009,angle135-x0000,y0000
id009,angle180-x0000,y0000
id009,angle225-x0000,y0000
id009,angle270-x0901,y1484
id009,angle315-x0736,y1552
id010,angle000-x0319,y1558
id010,angle045-x0155,y1486
id010,angle090-x0000,y0000
id010,angle135-x0000,y0000
id010,angle180-x0000,y0000
id010,angle225-x0000,y0000
id010,angle270-x0934,y1460
id010,angle315-x0791,y1547
id011,angle000-x0395,y1568
id011,angle045-x0209,y1517
id011,angle090-x0000,y0000
id011,angle135-x0000,y0000
id011,angle180-x0000,y0000
id011,angle225-x0000,y0000
id011,angle270-x0000,y0000
id011,angle315-x0000,y0000
id012,angle000-x0430,y1602
id012,angle045-x0000,y0000
id012,angle090-x0000,y0000
id012,angle135-x0000,y0000
id012,angle180-x0000,y0000
id012,angle225-x0000,y0000
id012,angle270-x0000,y0000
id012,angle315-x0816,y1553
id013,angle000-x0498,y1642
id013,angle045-x0237,y1602
id013,angle090-x0000,y0000
id013,angle135-x0000,y0000
id013,angle180-x0000,y0000
id013,angle225-x0000,y0000
id013,angle270-x0000,y0000
id013,angle315-x0875,y1570
id014,angle000-x0000,y0000
id014,angle045-x0000,y0000
id014,angle090-x0000,y0000
id014,angle135-x0000,y0000
id014,angle180-x0000,y0000
id014,angle225-x0000,y0000
id014,angle270-x0000,y0000
id014,angle315-x0834,y1534
id015,angle000-x0552,y1628
id015,angle045-x0253,y1601
id015,angle090-x0000,y0000
id015,angle135-x0000,y0000
id015,angle180-x0000,y0000
id015,angle225-x0000,y0000
id015,angle270-x0000,y0000
id015,angle315-x0909,y1541
id016,angle000-x0595,y1570
id016,angle045-x0345,y1559
id016,angle090-x0000,y0000
id016,angle135-x0000,y0000
id016,angle180-x0000,y0000
id016,angle225-x0000,y0000
id016,angle270-x0000,y0000
id016,angle315-x0866,y1492
id017,angle000-x0662,y1578
id017,angle045-x0340,y1571
id017,angle090-x0148,y1477
id017,angle135-x0000,y0000
id017,angle180-x0000,y0000
id017,angle225-x0000,y0000
id017,angle270-x0000,y0000
id017,angle315-x0933,y1475
id018,angle000-x0667,y1524
id018,angle045-x0000,y0000
id018,angle090-x0000,y0000
id018,angle135-x0000,y0000
id018,angle180-x0000,y0000
id018,angle225-x0000,y0000
id018,angle270-x0000,y0000
id018,angle315-x0879,y1453
id019,angle000-x0736,y1539
id019,angle045-x0437,y1557
