id,x,y,z
0,151,734,1649
1,163,776,1612
2,124,791,1520
3,168,763,1523
4,212,777,1514
5,197,818,1537
6,271,813,1528
7,277,844,1539
8,281,887,1531
9,304,901,1526
10,319,934,1512
11,395,0,1542
12,430,0,1577
13,498,0,1604
14,0,0,1534
15,552,0,1590
16,595,0,1540
17,662,932,1525
18,699,914,1525
19,736,897,1526
20,736,892,1543
21,769,0,1547
22,830,0,1593
23,889,878,1499
24,884,832,1484
25,879,786,1469
26,0,770,1556
27,0,690,1535
28,0,713,1578
29,0,675,1616
30,0,640,1635
31,0,594,1676
32,874,574,1607
33,868,531,1597
34,901,486,1586
35,934,442,1575
36,868,433,1543
37,928,378,1616
38,909,345,1627
39,891,313,1639
40,873,308,1684
41,848,283,1659
42,856,246,1624
43,864,210,1590
44,825,193,1561
45,787,177,1533
46,709,0,1554
47,693,0,1605
48,726,164,1662
49,675,208,1624
50,534,194,1578
51,512,188,1571
52,491,183,1564
53,459,176,1541
54,428,170,1519
55,399,221,1484
56,347,199,1429
57,0,0,1417
58,341,0,1371
59,304,316,1394
60,259,367,1394
61,260,417,1426
62,256,459,1420
63,252,501,1414
64,280,542,1392
65,308,583,1371
66,260,663,1391
67,253,699,1397
68,247,736,1403
69,269,766,1407
70,280,807,1407
71,309,841,1405
72,351,845,1381
73,370,896,1336
74,434,0,1362
75,483,0,1336
76,538,0,1316
77,598,842,1283
78,647,845,1271
79,696,849,1260
80,728,800,1265
81,787,821,1223
82,784,772,1284
83,799,754,1302
84,821,709,1323
85,846,688,1309
86,839,635,1305
87,880,617,1293
88,874,555,1304
89,863,557,1388
90,787,504,1356
91,0,455,1426
92,0,417,1406
93,788,358,1390
94,796,345,1326
95,779,305,1367
96,762,266,1409
97,684,247,1397
98,671,234,1330
99,646,228,1403
100,481,268,1374
101,434,266,1358
102,410,271,1363
103,381,267,1375
104,349,317,1375
105,293,292,1302
106,264,365,1317
107,256,397,1283
108,301,469,1316
109,281,481,1241
110,0,0,1311
111,0,0,1337
112,298,633,1320
113,316,635,1365
114,304,683,1333
115,292,732,1302
116,0,764,1326
117,0,786,1314
118,0,0,1332
119,421,0,1279
120,465,822,1265
121,493,814,1226
122,498,781,1187
123,558,812,1149
124,606,728,1189
125,653,760,1187
126,700,793,1186
127,749,758,1143
128,0,705,1211
129,0,678,1209
130,0,663,1207
131,0,621,1237
132,0,0,1246
133,773,521,1233
134,774,489,1184
135,775,458,1135
136,764,436,1116
137,754,415,1097
138,766,367,1108
139,709,316,1134
140,702,324,1208
141,720,258,1190
142,633,274,1198
143,633,223,1166
144,556,232,1180
145,511,263,1201
146,508,329,1177
147,422,340,1188
148,396,362,1186
149,359,393,1152
150,354,525,1109
151,351,550,1074
152,293,597,1057
153,348,639,1057
154,309,689,1118
155,352,690,1097
156,347,763,1094
157,370,783,1087
158,394,804,1081
159,424,783,1042
160,471,0,1116
161,525,0,1087
162,567,0,1126
163,595,714,1077
164,671,786,1056
165,718,774,1094
166,733,726,1102
167,749,678,1111
168,729,624,1097
169,726,591,1068
170,724,558,1040
171,777,516,1030
172,767,480,1010
173,757,445,990
174,711,453,959
175,686,410,976
176,662,368,993
177,655,317,960
178,597,354,940
179,561,317,940
180,534,308,960
181,484,369,944
182,477,352,1003
183,454,369,940
184,394,386,983
185,401,454,951
186,366,470,978
187,331,487,1006
188,0,543,996
189,0,601,994
190,0,598,954
191,343,674,975
192,360,704,938
193,437,642,978
194,428,715,998
195,444,755,970
196,470,706,918
197,542,733,952
198,532,764,978
199,586,773,970
200,652,737,968
201,718,702,966
202,736,672,964
203,0,0,985
204,0,589,994
205,0,562,978
206,0,518,967
207,712,455,940
208,726,426,912
209,741,397,884
210,674,431,826
211,676,358,839
212,646,391,869
213,577,364,878
214,553,353,859
215,530,342,841
216,492,355,791
217,443,384,828
218,395,401,790
219,393,455,860
220,369,502,803
221,0,546,867
222,0,584,865
223,0,589,881
224,410,596,889
225,343,690,876
226,409,682,820
227,379,756,844
228,410,748,864
229,441,740,884
230,503,732,879
231,533,733,805
232,551,778,801
233,596,770,842
234,614,713,862
235,690,759,820
236,672,722,894
237,657,667,893
238,693,647,869
239,715,616,829
240,0,563,832
241,0,513,821
242,727,472,794
243,655,466,776
244,637,439,806
245,639,383,785
246,599,374,764
247,559,366,744
248,505,409,720
249,447,424,761
250,427,497,798
251,376,555,756
252,0,600,760
254,428,0,761
255,450,687,734
256,510,0,736
257,529,0,740
258,580,0,755
259,619,0,726
260,638,0,766
261,713,704,760
262,0,632,776
263,0,0,806
264,0,0,801
265,700,519,745
266,666,490,772
267,676,434,721
268,649,406,708
269,589,398,702
270,550,427,707
271,511,457,712
272,459,420,655
273,442,459,655
274,428,522,675
275,0,544,675
276,0,600,647
277,472,614,686
278,504,638,625
279,538,669,657
280,584,636,653
281,595,607,628
282,606,579,604
283,611,525,590
284,617,472,577
285,548,459,601
286,535,424,557
287,497,455,579
288,490,514,595
289,455,577,579
290,462,611,531
291,471,640,572
292,527,645,553
293,566,636,551
294,605,627,550
295,639,595,548
296,674,564,547
297,669,543,554
298,664,473,548
299,618,531,534
300,532,471,489
301,501,510,478
302,471,550,468
303,489,602,499
304,475,651,467
305,523,660,414
306,554,666,410
307,595,636,431
308,640,583,398
309,617,0,397
310,0,539,401
311,538,564,351
312,495,553,352
313,492,581,388
314,490,610,424
315,506,668,452
316,539,663,479
317,544,0,524
318,598,0,540
319,645,628,583
320,649,586,628
321,630,505,608
322,629,494,655
323,587,473,660
324,546,452,665
325,481,476,663
326,446,464,622
327,425,518,609
328,404,572,597
329,417,595,628
330,446,615,637
331,491,645,660
332,551,657,625
333,582,631,703
334,615,664,690
335,664,642,718
336,0,622,747
337,0,573,775
338,709,539,830
339,716,499,864
340,736,459,893
341,693,436,923
342,627,432,940
343,640,382,933
344,555,394,912
345,532,364,939
347,453,409,943
348,411,431,948
349,371,514,965
350,332,598,982
351,346,627,1050
352,299,682,1062
353,330,707,1073
354,350,722,1003
355,384,740,1067
356,417,769,1057
357,450,783,1049
358,500,752,1074
359,550,722,1100
360,558,0,1139
361,612,0,1093
362,690,788,1101
363,732,767,1129
364,775,747,1157
365,0,684,1162
366,0,710,1193
367,0,629,1175
368,755,612,1235
369,0,555,1231
370,0,528,1286
371,0,480,1287
372,0,440,1257
373,0,0,1247
374,0,0,1274
375,674,358,1193
376,701,292,1252
377,638,310,1263
378,614,245,1249
379,566,220,1231
380,540,295,1233
381,481,298,1242
382,434,314,1261
383,380,289,1218
384,362,362,1242
385,322,363,1207
386,281,386,1189
387,350,439,1208
388,348,487,1209
389,315,538,1200
390,282,589,1192
391,327,583,1174
392,304,697,1173
393,352,0,1165
394,332,0,1203
395,386,0,1195
396,417,721,1207
397,0,0,1218
398,0,0,1187
399,427,822,1199
400,525,835,1247
401,566,819,1285
402,629,876,1291
403,649,857,1328
404,669,839,1365
405,636,782,1369
406,713,774,1386
407,781,799,1405
408,809,759,1364
409,0,721,1401
410,0,681,1490
411,859,651,1471
412,0,0,1472
413,0,587,1392
414,839,524,1440
415,854,447,1404
416,866,394,1415
417,878,342,1426
418,835,368,1480
419,807,318,1490
420,0,295,1507
421,0,248,1553
422,0,193,1554
423,770,161,1563
424,728,0,1560
425,699,0,1668
426,639,0,1647
427,583,0,1678
428,540,0,1656
429,0,0,1613
430,435,168,1577
431,402,177,1602
432,369,187,1628
433,305,110,1648
434,253,209,1635
435,228,238,1582
436,203,267,1529
437,214,361,1524
438,210,352,1593
439,198,401,1594
440,186,450,1596
441,209,507,1591
442,232,565,1586
443,181,614,1593
444,222,687,1552
445,213,704,1544
446,204,722,1536
447,201,643,1465
448,177,817,1578
449,0,826,1580
450,323,0,1518
451,337,856,1439
452,408,865,1478
453,450,829,1444
454,467,871,1425
455,501,827,1415
456,565,0,1470
457,625,0,1453
458,668,821,1435
459,704,811,1348
460,711,713,1390
461,757,747,1385
462,0,687,1359
463,0,705,1434
465,875,683,1461
466,881,643,1492
467,887,603,1524
468,949,582,1497
469,902,535,1464
470,890,498,1498
471,878,462,1532
472,927,368,1610
473,901,349,1631
474,861,320,1598
475,856,285,1554
476,851,250,1510
477,843,252,1509
478,763,278,1423
479,742,214,1458
480,691,209,1433
481,641,204,1409
482,573,202,1419
483,527,218,1433
484,481,235,1447
485,404,214,1439
486,368,207,1382
487,373,269,1457
488,289,260,1455
489,299,315,1485
490,244,353,1498
491,243,394,1502
492,280,430,1437
493,244,471,1444
494,209,513,1452
495,197,584,1440
496,224,653,1439
497,199,697,1413
498,211,688,1491
499,160,717,1426
